datum,anzahl_belege,summe_anzahl
2026-02-27,131,131
2026-03-02,248,248
2026-03-03,207,207
2026-03-04,171,171
2026-03-05,190,190
2026-03-06,240,240
2026-03-09,179,179
2026-03-10,135,135
2026-03-11,201,201
2026-03-12,177,177
2026-03-13,192,192
2026-03-16,200,200
2026-03-17,233,233
2026-03-18,90,90
2026-03-19,167,167
2026-03-20,205,205
2026-03-23,131,131
2026-03-24,176,176
2026-03-25,130,130
2026-03-26,64,64
2026-03-27,127,127
2026-03-30,149,149
2026-03-31,279,279
2026-04-01,170,170
2026-04-02,197,197
2026-04-07,151,151
2026-04-08,164,164
2026-04-09,160,160
2026-04-10,248,248
2026-04-13,197,197
2026-04-14,175,175
2026-04-15,188,188
2026-04-16,65,65
2026-04-17,99,99
2026-04-20,263,263
2026-04-21,214,214
2026-04-22,171,171
2026-04-23,180,180
2026-04-24,110,110
2026-04-27,112,112
2026-04-28,201,201
2026-04-29,164,164
2026-04-30,260,260
2026-05-04,228,228
2026-05-05,194,194
2026-05-06,143,143
2026-05-07,217,217
2026-05-08,196,196
2026-05-11,152,152
2026-05-12,136,136
2026-05-13,190,190
2026-05-15,155,155
2026-05-18,120,120
2026-05-19,91,91
2026-05-20,170,170
2026-05-21,162,162
2026-05-22,148,148
2026-05-26,144,144
2026-05-27,100,100
2026-05-28,147,147
2026-05-29,136,136
2026-06-01,114,114
2026-06-02,138,138
2026-06-03,103,103
2026-06-04,93,93
2026-06-05,117,117
2026-06-08,98,98
2026-06-09,111,111
2026-06-10,86,86
2026-06-11,110,110
2026-06-12,87,87
2026-06-15,111,111
2026-06-16,69,69
2026-06-17,106,106
